nome,luogo_nascita,data_nascita,luogo_morte,data_morte,biografia_html,anno_nascita,anno_morte,periodo
Nicola Abbagnano,Salerno,15 Luglio 1901,Milano,9 Settembre 1990,"Filosofo italiano tra i maggiori del secondo dopoguerra, si laureò nel 1922 con Antonio Aliotta all'Università di Napoli. Fin da subito mostrò un orientamento di pensiero in contrasto con l'indirizzo filosofico neoidealistico allora imperante in Italia. Dopo un periodo di insegnamento nei licei, si trasferì a Torino, dove divenne professore ordinario di Storia della filosofia prima nella Facoltà di magistero (dal 1936 al 1939) e quindi in quella di lettere e filosofia (fino al 1976). Fu tra i primi a diffondere in Italia, negli anni trenta e quaranta del Novecento, la conoscenza delle correnti esistenzialiste tedesche e francesi, rappresentate da Martin Heidegger, Karl Jaspers e Jean-Paul Sartre. A partire dall'opera La struttura dell'esistenza (1939), l'esistenzialismo venne da Abbagnano elaborato e proposto in modo alternativo, come esistenzialismo laico e ""positivo"", che esaltava il valore umano del sapere scientifico. Tra gli anni quaranta e cinquanta del Novecento, si accostò al pensiero del filosofo americano John Dewey e al suo ""strumentalismo"", ispirando la corrente del ""neoilluminismo italiano"", cui aderirono alcune figure di rilievo del panorama culturale italiano dell'epoca, come Norberto Bobbio, Eugenio Frola, Ludovico Geymonat, Adriano Buzzati-Traverso, Eugenio Garin, Mario Dal Pra. Abbagnano fu collaboratore del Centro di studi metodologici di Torino e fondatore, insieme al suo allievo Franco Ferrarotti, dei Quaderni di sociologia (1951); dal 1952 diresse inoltre con Norberto Bobbio la Rivista di filosofia . Il pensiero di Abbagnano, noto soprattutto per l'opera in tre volumi Storia della filosofia (1946-1950) e per il Dizionario di filosofia (1961), ha avuto grande diffusione anche grazie alla sua attività giornalistica, che lo portò a collaborare con quotidiani e riviste nazionali, fra cui La Stampa di Torino e Il Giornale di Indro Montanelli. Nel 1985 Abbagnano fu assessore alla cultura del Comune di Milano, città dove risiedeva dal 1972. Mauro Antonelli e Verena Zudini 15/09/2010",1901,1990,Nascita psicologia scientifica
Ferdinando Accornero,Genova,26 Marzo 1910,Roma,7 Agosto 1985,"Laureato in medicina e chirurgia all'Università di Roma nel 1935, nel biennio successivo si recò all'estero per un periodo di studio, frequentando nel 1936 la Clinica neurologica e psichiatrica dell'Ospedale della Charité di Berlino, diretta da Karl Bonhoffer, e nel 1937 l'Istituto neurologico di Vienna diretto da Otto Marburg. Dal 1937 al 1939 prestò servizio come assistente presso la Clinica delle malattie nervose e mentali dell'Università di Roma, sotto la direzione di Ugo Cerletti e nel 1938 ottenne la specializzazione in neurologia e psichiatria. Durante la seconda guerra mondiale, dal 1941 al 1944, fu capitano medico di complemento in zona di operazioni, ma nel 1942 riuscì comunque a conseguire la libera docenza in Clinica delle malattie nervose e mentali, seguita nel 1955 da quella in Neuropsichiatria infantile. Fu inoltre dal 1950 al 1985, anno della morte, direttore della Casa di cura romana ""Castello della quiete"". Membro della Società italiana di neurologia (SIN), della Società italiana di psichiatria (SIP) e della sua Sezione di neuropsichiatria infantile (che pubblicava la rivista L'infanzia anormale ), rivolse inizialmente la sua attività di ricerca all'applicazione delle terapie convulsivanti in psichiatria, collaborando con Ugo Cerletti e Lucio Bini alla sperimentazione dell'elettroshock, e dedicandosi successivamente allo studio delle anoressie e della neuropsichiatria infantile. Fu autore di 42 pubblicazioni su riviste scientifiche nazionali e di un libro dal titolo L'organizzazione del proprio lavoro intellettuale (Roma, Tumminelli, 1956). Il suo archivio è andato perduto. Paola Zocchi 18/06/2013",1910,1985,Nascita psicologia scientifica
Cesare Agostini,Perugia,15 ottobre 1864,Perugia,28 agosto 1942,"Figlio di Pasquale Agostini e Giulia Rocchi, conseguì la laurea in medicina e chirurgia all’ Istituto di studi superiori di Firenze nel 1889, perfezionandosi poi presso l’Ospedale psichiatrico San Lazzaro di Reggio Emilia e in seguito a Heidelberg, dove fu uno dei migliori studenti di Emil Kraepelin. Trascorsi pochi anni dalla laurea, fu nominato medico primario del Manicomio Santa Maria della Pietà di Roma, ruolo che lasciò nel 1901 per accettare l’incarico di vicedirettore del Manicomio Santa Margherita di Perugia, diretto da Roberto Adriani, passando poi nel 1903 come sopraintendente al Pellagrosario di Città di Castello in Umbria. Poco dopo aver ottenuto la nomina a direttore dell’Ospedale psichiatrico provinciale di Arezzo, fu richiamato nel 1904 da Adriani a succedergli nella direzione di quello di Perugia, dove rimase fino al 1928. Qui fondò nel 1907 la rivista Annali del Manicomio di Perugia , di cui fu direttore sino al 1930, anno in cui gli subentrò il figlio Giulio. Sempre nel manicomio perugino diede mano a una serie di riforme edilizie, facendo costruire nuovi padiglioni, tra cui merita una menzione il padiglione Bellisari, ultimato nel 1915 e inaugurato come reparto neuro-psichiatrico dipendente dall’Ospedale militare di Perugia, destinato solo dopo la guerra ai pazienti del manicomio. Nel 1916 Agostini si arruolò volontario con il grado di maggiore medico, ottenendo la nomina a direttore della Sezione neurologica militare di Perugia e consulente neuropsichiatra delle malattie nervose presso l’Armata Carnica. In quel periodo si dedicò al funzionamento dei servizi neuropsichiatrici dell’esercito, per i quali ottenne la medaglia d’argento al merito della sanità pubblica e la medaglia di bronzo al valore civile. Si congedò infine nel 1917 con il grado di tenente colonnello. La sua intensa attività istituzionale fu accompagnata, sin dagli anni Novanta dell’Ottocento, da un parallelo impegno sul fronte dell’insegnamento accademico e della ricerca scientifica. Dopo aver ottenuto la libera docenza all’Istituto di studi superiori pratici e di perfezionamento di Firenze nel 1896, fu infatti nominato nel 1927 direttore della Clinica delle malattie nervose e mentali e dell’Istituto di medicina legale dell’Università di Perugia, dove insegnò antropologia e psichiatria forense e medicina legale. Qui ottenne, sempre nel 1927, anche il ruolo di preside della Facoltà di medicina e chirurgia, che mantenne fino al 1936, diventando inoltre prorettore. Per adeguare il manicomio alle esigenze della Clinica (annessa al manicomio stesso) fece costruire laboratori scientifici di chimica, sierologia e istopatologia, provvisti degli strumenti necessari per condurre le indagini di supporto, nonché aule adibite all’insegnamento dell’antropologia criminale, della psichiatria forense e della medicina legale. Il suo impegno scientifico è attestato da molte pubblicazioni, apparse in varie riviste come Il Policlinico , l’ Archivio di antropologia criminale, psichiatria e medicina legale e la Rivista di patologia , tra le quali si distinguono importanti studi di neuropsichiatria, alcune ricerche sperimentali pionieristiche sugli effetti della deprivazione del sonno, e i molti approfondimenti clinici sulla pellagra, in relazione soprattutto al territorio umbro. A sua firma è anche il fortunato Manuale di psichiatria , pubblicato presso l’editore Vallardi nel 1897 con la prefazione di Enrico Morselli. Membro dell’Ordine della Corona d’Italia dal 1904 e di quello dei SS. Maurizio e Lazzaro dal 1919, fu nominato senatore del Regno nel giugno 1939. Fu inoltre attivo in ambito locale come assessore del Comune di Perugia e presidente dell’Ordine dei medici provinciale. Denise Vincenti 02/12/2020",1864,1942,Proto-scientifico
Alfredo Albertini,Appignano del Tronto (Ascoli Piceno),12 Maggio 1881,Milano,21 Dicembre 1952,"Figlio di Paolo Albertini e Ida Marchei, perde la madre ad appena sei anni; il padre sposa in seconde nozze Elvira Feliciani. Conseguita la maturità classica presso il liceo Francesco Stabili di Ascoli Piceno, nel 1899 s’iscrive alla Facoltà di medicina dell’Università La Sapienza di Roma (gli zii materni erano medici, e proprio a Roma li ritrova), conseguendo la laurea nel luglio 1905. Ottiene subito un posto di assistente nella sezione chirurgica dell’Ospedale Mazzoni di Ascoli, dove lavora con Aristide Mattoli e Cesare Bellati. L’anno successivo diventa medico condotto presso il Comune di Monterubbiano, dove dà vita alle cosiddette ""locande sanitarie"", centri territoriali dove gli ammalati di pellagra possono ricevere cure adeguate senza dover essere relegati nei pellegrosari. Successivamente si sposta nella condotta di Rocca Priora, in provincia di Roma. Nel 1907 frequenta, presso l’ateneo romano, un corso teorico-pratico di perfezionamento in igiene, che si rivelerà fondamentale quando, l’anno successivo, si trasferisce a Milano e – dopo aver sposato Egle Murani, professoressa di calligrafia – si iscrive al concorso per ""medico di seconda classe"" dell’Ufficio di igiene e sanità del Comune di Milano, ottenendo l’incarico nel novembre 1908. Nel 1911 il sindaco Emanuele Greppi gli assegna anche la direzione del servizio sanitario scolastico, che manterrà fino al 1947. I problemi dell’igiene nell’ambito particolare della scuola diventano da quel momento l’argomento principale delle sue ricerche: Esperimento comparativo sulla fatica intellettuale degli alunni delle scuole elementari di Milano con orario continuato e con orario interrotto (1909), Il libretto sanitario nelle scuole elementari di Milano (1912), Colonie scolastiche marine (1913), Medicina scolastica preventiva (1914) sono i titoli dei suoi primi lavori. Nel 1913 entra a far parte del Comitato per l’assistenza dei fanciulli anormali, da cui nasce l’Associazione Pro infanzia anormale (PIA), di cui Eugenio Medea è presidente e Albertini segretario. Sull’onda di questa esperienza, nel 1915 il Comune di Milano inaugura la prima Scuola speciale per alunni anormali, con sede in via Vittoria Colonna. La scuola viene intitolata a Zaccaria Treves, fisiologo e primo direttore del Laboratorio civico di psicologia pura ed applicata: ad Albertini viene affidata la direzione medica. Egli presta inoltre la propria opera nella Scuola speciale ""Giulio Tarra"" per anormali dell’udito e della parola. Particolarmente interessato ai tempi di attenzione degli alunni e alle cosiddette “scuole all’aperto”, ha frequenti contatti con lo psicologo romano Sante De Sanctis e sempre a Roma conosce gli esperimenti pedagogici di Maria Montessori. Partecipa alla Grande guerra come tenente medico di fanteria, ottenendo una medaglia di bronzo al valor militare e una croce al merito di guerra. È inoltre redattore della rivista L’infanzia anormale , fondata da Giulio Ferreri nel 1907, e dal 1920 è docente nei corsi per il personale insegnante dei bambini anormali, tenuti dapprima presso l’associazione PIA e successivamente presso l’Università Cattolica di Milano. Sempre nel 1920 viene nominato capo sezione dell’Ufficio di igiene per la vigilanza scolastica. Tra le due guerre dirige le due colonie elioterapiche presenti all’interno della Casa del Sole (la scuola per bambini gracili e con tubercolosi aperta dal Comune di Milano nell’area precedentemente occupata dal Trotter) e della scuola di via Palmieri. Fornisce inoltre assistenza medica al Villaggio alpino Pro fanciulli gracili e poveri di Monte Piambello in Valganna (Varese). Nel 1934 la Corte d’Appello di Milano lo nomina giudice del Tribunale per i minorenni e dal 1948 è anche membro della Società italiana per l’assistenza medico-psico-pedagogica ai minorati dell’età evolutiva (SIAME), fondata a Roma da Ferruccio Montesano, di cui la PIA diventa la sezione lombarda. Poco prima di morire, nel 1951, è tra i fondatori dell'Associazione italiana dei magistrati per i minorenni e per la famiglia (AIMMF) insieme ai colleghi Ottavio Vergani, Carlo Petrò, Enrico Miserocchi, Rosario Ruggeri e Carlo Trabattoni. Elisa Montanari 26/06/2015 (aggiornamento della Redazione, 27/03/2024)",1881,1952,Nascita psicologia scientifica
Antonio Aliotta,Palermo,18 Gennaio 1881,Napoli,1 Febbraio 1964,"Dopo un primo anno di studi all'Università di Palermo, si trasferì a Firenze dove fu allievo di Francesco De Sarlo. Ancora studente, iniziò a lavorare nel Laboratorio di psicologia sperimentale fondato dallo stesso De Sarlo presso il Regio Istituto di studi superiori di Firenze. Con De Sarlo si laureò in filosofia teoretica nel 1903 e l'anno successivo, sempre nel capoluogo toscano, divenne direttore didattico dell'Istituto medico pedagogico Umberto I. Nel 1905 ottenne la libera docenza in psicologia sperimentale e, dopo un periodo di insegnamento nei licei, nel 1913 fu chiamato alla cattedra di filosofia teoretica dell'Università di Padova. Qui ebbe come allievo Cesare Musatti, cui assegnò la tesi di laurea dal titolo Geometrie non-euclidee e problema della conoscenza . Nel 1919 si trasferì all'Università di Napoli e Musatti completò la sua tesi sotto la guida di Vittorio Benussi. A Napoli Aliotta insegnò fino al 1951, quando fu collocato a riposo. Fu membro dell'Accademia Pontaniana, della Società nazionale di scienze, lettere e arti e dell'Accademia dei Lincei. Nel 1914 fondò la rivista internazionale di filosofia Logos , alla quale collaborò il suo allievo Nicola Abbagnano. I lavori principali di Aliotta in campo psicologico risalgono agli anni della sua attività presso il Laboratorio di psicologia sperimentale di Firenze. Dopo tale periodo, infatti, egli abbandonò gli studi di psicologia per dedicarsi quasi esclusivamente a quelli di filosofia e di epistemologia. Fra i suoi contributi in psicologia, accanto alle ricerche sulla ""memoria immediata"" (che oggi chiameremmo ""memoria a breve termine"") e sulla percezione degli intervalli di tempo (tema quest'ultimo che sarebbe stato poi approfondito, all'interno del Laboratorio di Firenze, da Enzo Bonaventura e da Renata Calabresi) si ricorda soprattutto il volume La misura in psicologia sperimentale (1905), dedicato al problema della quantificazione e della misurazione dei fenomeni della vita psichica. Mauro Antonelli e Verena Zudini 03/12/2009",1881,1964,Nascita psicologia scientifica
Giuseppe Amadei,Cavriana (Mantova),1 Gennaio 1854,Brescia,29 Dicembre 1919,"Originario di Cavriana, allora territorio bresciano, dopo aver frequentato il liceo a Brescia fu ammesso nel 1873, per merito, al Collegio Ghislieri di Pavia. Allievo di Cesare Lombroso e Paolo Mantegazza, si laureò in medicina e chirurgia, svolgendo per un breve periodo la professione medica a Campitello e Cavriana. Dopo un soggiorno di perfezionamento a Parigi, cominciò a dedicarsi sistematicamente agli studi di craniologia e psichiatria, aderendo inoltre nel 1878 alla Società italiana d'antropologia ed etnologia. Scelta definitivamente la carriera psichiatrica, divenne prima assistente nel Manicomio San Lazzaro in Reggio Emilia (1880), poi aiuto al Manicomio di Macerata (1881) e infine primario al Manicomio di Imola (1882). Gli anni di formazione gli permisero di entrare in contatto con illustri personaggi della disciplina, come Luigi Lolli, Enrico Morselli, Augusto Tamburini e Giulio Cesare Ferrari. Nel 1883, sulla scorta delle pubblicazioni scientifiche, fu nominato socio della Società freniatrica italiana e l'anno seguente della Société de Médecine Méntal de Belgique. Nel 1884, a soli trent'anni, fu nominato direttore del Manicomio di Cremona, di cui curò il trasferimento dai vecchi e fatiscenti locali annessi all'Ospedale Maggiore alla nuova e più moderna sede provinciale presso Due Miglia. Partecipe di un concetto essenzialmente naturalistico dell'uomo, per cui il folle era avvicinato con approcci simili alle metodologie anatomico-comparativistiche in uso nella zoologia, dedicò il suo impegno alla craniologia, una sottodisciplina della psichiatria che – con il superamento dell'opera speculativa dei frenologi – mirava a sviscerare definitivamente l'enigma della patogenesi della pazzia. Il sostrato culturale socialdarwinistico in Amadei si raccordava quindi con una visione diagnostica che ricercava sempre una correlazione tra malattia e innata organica morfologia. Su queste basi, e dopo la traduzione italiana (in collaborazione con Silvio Tonnini nel 1885) del Trattato clinico pratico delle malattie mentali di Krafft-Ebing, si convinse che la genesi della follia trovava spiegazione nel concetto di degenerazione trasmissibile per via ereditaria. La fede evoluzionista non gli impedì tuttavia di mantenere un atteggiamento prudentemente critico: tipico, in questo senso, il richiamo lanciato pubblicamente nel 1889 al VI Congresso della Società freniatrica di Novara, quando, nel contesto di una diffusa e acritica accettazione del modello degenerativo che inglobava, omologandole, follia e delinquenza, denunciò la tendenza esagerata presso gli psichiatri a ritrovare sempre note degenerative, e osservò che ""i degeneratisti d'oggi vanno su questa via tanto in là che han perduto di vista il Darwin stesso"". Severo censore dello sviluppo di esperienze mediate dal modello belga del villaggio di Geel (""Gheel""), le cui pratiche di psichiatria senza manicomio definiva buone in apparenza ed efficaci solo a sguardi superficiali, mostrò comunque un cauto interesse per l'utilizzo nell'asilo cremonese dei sistemi dell' open door e del no restraint . Attenzione che tuttavia, con il trascorrere degli anni e con l'aggravarsi dell'affollamento manicomiale, andò via via esaurendosi. Amadei fu inoltre, in un certo senso, un precursore di Raymond Queneau. Verso la fine dell'Ottocento (ben prima della ricerca sui ""folli letterari"" di Queneau iniziata a partire dal 1930), egli studiò da psichiatra la ""letteratura dei pazzi"" e raccolse, anche grazie all'aiuto di Cesare Lombroso, una collezione preziosa e unica di opere stampate di mattoidi e paranoici che affrontavano vasti argomenti. Amadei li definiva ""mattoidi scientifici"", perché le loro opere trattavano ""di filosofia e cosmologia, di teologia e questioni religiose, di scienze politiche e sociali, di scienze giuridiche, di scienze mediche, di psicologia, psichiatria, educazione, di filologia, di storia naturale, di fisica, di astronomia, di meteorologia, fisica terrestre, agricoltura, di matematica, di meccanica"". Interessato allo studio del delirio, era in particolare attento a quella forma di delirio paranoico detta ""delirio scientifico"". Con i primi anni del Novecento, assunse un ruolo di primo piano nella Commissione pellagrologica cremonese e nella lotta alla pellagra in provincia. Nel 1909 fu inoltre nominato ispettore dei manicomi e nel 1911 Cavaliere della Corona. Nel 1916-17 una commissione d'inchiesta manicomiale, istituita dopo l'interpellanza di un consigliere provinciale, accertò il registrarsi nel Manicomio cremonese di ripetute violenze a danno dei pazienti. Entrato in rotta di collisione con la Deputazione provinciale – che lo accusava di mancata rigorosa sorveglianza – Amadei fu indotto alle dimissioni. Ritiratosi a Brescia, divenne poi ispettore del locale manicomio. Silvia Manente, Andrea Scartabellati 30/06/2011",1854,1919,Proto-scientifico
Ornella Andreani Dentici,São Gabriel (Brasile),9 Maggio 1924,Pavia,13 Settembre 2017,"Figlia di Salvatore Dentici e Marcella Ferrero, entrambi medici, dopo aver conseguito la maturità classica presso il liceo di Voghera “Severino Grattoni”, si iscrisse alla Facoltà di lettere e filosofia dell’Università di Pavia. Di famiglia antifascista, dopo l’8 settembre 1943, insieme alla madre, al fratello Jacopo (di due anni più piccolo) e al futuro marito (psichiatra) Franco Andreani, prese parte alla Resistenza nelle formazioni di Giustizia e libertà. Il padre, medico in marina, fu a lungo lontano da casa. Finita la guerra riprese gli studi e nel dicembre 1945 si laureò a pieni voti con una tesi di argomento filosofico (poi pubblicata) su Conoscenza sacra e conoscenza profana . L’esperienza resistenziale e la morte del fratello, avvenuta il 15 marzo 1945 nel lager tedesco di Gusen (uno dei sottocampi di Mauthausen), ebbero un ruolo fondamentale nelle sue scelte professionali, vissute in continuità con l’impegno civile. Nel 1947 iniziò a lavorare come assistente volontaria presso l’Università di Pavia, in relazione con l’insegnamento di psicologia, in quell’anno ripristinato. In tale ambito avviò l’organizzazione dell’Istituto di psicologia, struttura allora assente nell’ateneo. L’anno seguente vinse il concorso per un posto di insegnante nelle scuole superiori, dove ebbe la possibilità di condurre ricerche nel campo della psicologia evolutiva e dell’apprendimento. Nello stesso tempo iniziò a frequentare la Clinica neuropatologica pavese diretta da Carlo Berlucchi, collaborando con il neuropsichiatra Gildo Gastaldi a indagini ed esercitazioni di psicologia clinica, che la portarono a costruire un nuovo metodo proiettivo acustico. Nel 1957, con una borsa del British Council, trascorse un periodo di studio presso il Department of Psychology e il Department of Education dell’Università di Edimburgo. Sotto la guida dei professori James Drever e John Pilley, si perfezionò nelle tecniche psicometriche e sperimentali e svolse ricerche su apprendimento, memoria e metodi di indagine dell’intelligenza e della personalità. Visitò inoltre i laboratori di psicologia di Oxford, Cambridge, Londra e Aberdeen. Tornata in Italia, nel dicembre 1959 ottenne la libera docenza in psicologia dell’età evolutiva. Lo stesso anno Salvatore Maugeri, direttore dell’Istituto di medicina del lavoro dell’Università di Pavia, le affidò l’organizzazione di un Centro di psicologia applicata al lavoro e alla scuola, dove effettuò ricerche di psicologia differenziale e costituì un Centro per l’orientamento scolastico, prima operante nella scuola media e poi nell’università. Nell’anno accademico 1961-1962, dopo le dimissioni di Giulio Castiglioni, le venne conferito l’incarico di psicologia, che svolse anche nelle scuole di specialità di medicina del lavoro e di neurologia, psichiatria e neuropsichiatria infantile. L’anno dopo, anche grazie alla collaborazione di Maugeri che le permise di ottenere locali e mezzi, fondò l’Istituto di psicologia, di cui ottenne la direzione. Contemporaneamente, lasciò la docenza nella scuola superiore per dedicarsi esclusivamente alla carriera accademica. Risultata idonea nei concorsi di Siena (1969) e Firenze (1970), divenne professore ordinario di psicologia nel 1975 all’Università di Pavia. Coordinatrice, dal 1981, del Dottorato di ricerca in psicologia (consorziato con Milano), nel 1984 fondò la Scuola di specializzazione nella stessa materia (poi psicologia del ciclo della vita) e dieci anni dopo il Centro interdipartimentale di ricerca di scienze cognitive. Nel 1999 promosse anche la costituzione del Centro di orientamento universitario. Fuori dal contesto accademico fu consulente del Dipartimento della pubblica educazione del Canton Ticino e dell’Associazione IARD (Identificazione e assistenza dei ragazzi dotati) di Milano. Membro di numerose società scientifiche, nazionali e internazionali, nel 1989 fu insignita della Medaglia di benemerito della scuola, della cultura e dell’arte del Ministero della pubblica istruzione e nel 1998 di quella della Società italiana di psicologia dell’educazione e della formazione. Fu collocata a riposo il primo novembre 1999 e nominata in seguito professore emerito. Autrice di oltre duecento pubblicazioni scientifiche, si interessò, in contributi nazionali e internazionali, di metodi di studio del comportamento, intelligenza e creatività, memoria, fatica mentale, livello di aspirazione, influenza dei fattori familiari e sociali nello sviluppo della personalità, memoria nei giovani e negli anziani. Le sue indagini, sempre attente alle ricadute sociali, contribuirono a introdurre nuove tematiche nella psicologia sperimentale italiana, come la ricerca longitudinale nel ciclo di vita, gli studi sull’invecchiamento, i metodi computazionali e delle neuroscienze per la ricerca cognitiva. Matteo Fiorani 04/12/2017",1924,2017,Periodo tra le guerre
Giuseppe Antonini (junior),Udine,2 Novembre 1904,Monza,13 Giugno 1938,"Figlio del più celebre e omonimo psichiatra Giuseppe Antonini senior, passò l'infanzia e la giovinezza seguendo gli spostamenti del genitore, direttore dell'Ospedale psichiatrico di Udine e poi di quello di Milano in Mombello. Iscrittosi alla Facoltà di medicina dell'Università di Milano, fu allievo interno nell'Istituto di semeiotica e nella Divisione neurologica dell'Ospedale Maggiore, entrambi diretti da Eugenio Medea. Proprio con Medea discusse infatti la tesi di laurea, il suo primo lavoro scientifico – poi pubblicato – sui tumori cerebrali. Laureatosi il 4 luglio 1929, fu nominato nel gennaio 1930 assistente volontario nella Clinica psichiatrica dell'Università di Torino, diretta da Ernesto Lugaro, dedicandosi in particolare alle ricerche di laboratorio sulla struttura istologica delle radici spinali. Sempre nell'ateneo torinese, frequentò, superandone brillantemente gli esami, il Seminario di antropologia criminale e di diritto penale, costituitosi qualche anno prima intorno alla cattedra che era stata di Cesare Lombroso, grazie all'impegno congiunto di alcuni docenti della Facoltà di legge (Eugenio Florian e Gioele Solari) e della Facoltà di medicina (Giorgio Canuto, Mario Carrara, Amedeo Herlitzka e lo stesso Lugaro). Terminata l'esperienza torinese, ottenne un attestato da Lugaro in cui si certificava la sua preparazione e in particolare la sua attitudine all'esame degli alienati, che lo rendeva adatto alla direzione di un reparto psichiatrico ospedaliero. Per approfondire i propri studi, tuttavia, decise di recarsi in Francia, alla Salpetrière di Parigi, dove frequentò la Clinica delle malattie nervose e mentali diretta da Henri Claude e la Clinica neurologica di Georges Guillain. Pubblicò in quel periodo un lavoro sul metabolismo basale nelle malattie mentali e ottenne un'attestazione di merito per l'attività prestata presso l'infermeria speciale della Prefettura di polizia della capitale francese. Rientrato in Italia nel 1932, vinse un concorso all'Ospedale psichiatrico di Trento, ma rinunciò all'incarico preferendo impiegarsi come psichiatra (prima aiuto e poi vicedirettore) nello Stabilimento sanitario Biffi di Monza, di proprietà della famiglia, diretto dal maestro Eugenio Medea. Molto amato dai pazienti, fu segretario della Sezione lombarda della Lega d'igiene mentale, si impegnò nell'attività dell'Assistenziario per i liberati dal carcere di Milano, si occupò di delinquenza minorile, del problema dell'ereditarietà nella psicosi maniaco-depressiva, dei segni extrapiramidali nella schizofrenia. Svolse inoltre incarichi peritali in campo giudiziario e negli ultimi anni della sua vita tenne un corso di assistenza psichiatrica per le infermiere volontarie della Croce Rossa. Morì all'interno dello Stabilmento Biffi – a soli 33 anni e a pochi mesi dalla morte del padre – per una peritonite trascurata. Paola Zocchi 28/04/2016",1904,1938,Nascita psicologia scientifica
Giuseppe Antonini (senior),Milano,17 Novembre 1864,Milano,18 Gennaio 1938,"Discendente dalla famiglia degli Antonini della Valsesia, nacque dallo scultore Giuseppe e da Ersilia Lelli. Perse la madre ad appena tre anni e fu allevato dalla seconda moglie del padre, Giuseppina Canetta. Si laureò all'Università di Torino nel 1888 con Carlo Forlanini, discutendo una tesi in Clinica medica Sulla ventilazione polmonare dell'uomo sano in movimento ed in montagna , che fu poi pubblicata. Allievo in seguito di Cesare Lombroso, nel 1889 entrò come assistente nell'Ospedale psichiatrico di Bergamo e nel 1900, dopo aver sposato Paolina Robert, si trasferì a dirigere il Manicomio di Pavia in Voghera. Fondò nel 1901, collaborandovi per vent'anni, la Rivista pellagrologica italiana , che cessò le sue pubblicazioni nel 1923. Dopo aver conseguito nel 1902 la libera docenza in psichiatria all'Università di Modena, nel 1903 ideò e organizzò l'Ospedale psichiatrico di S. Osvaldo di Udine, primo esempio in Italia di manicomio senza cinta muraria, dirigendolo fino al 1910 e applicandovi i nuovi criteri di ergoterapia, libertà e no-restraint . Considerando l'istituto manicomiale come centro ospedaliero di studio clinico e sperimentale, vi curò in particolare la creazione di laboratori scientifici e di sussidi per la ricerca e la cura. Dal 1911 al 1931 fu direttore dell'Ospedale psichiatrico di Milano in Mombello (che gli fu poi intitolato negli anni Cinquanta), affrontando il grave problema del sovraffollamento e ristrutturando, tra molte difficoltà e spesso in contrasto con l'Amministrazione provinciale, i vecchi edifici ammalorati. Consapevole della necessità di ricoverare i malati acuti in una struttura più vicina alla città, progettò un'astanteria nel sobborgo milanese di Affori, che fu poi realizzata dall'allievo Paolo Pini dopo la sua morte, con la fondazione del nuovo Ospedale psichiatrico nel 1939. Maggiore medico volontario e poi tenente colonnello durante la prima guerra mondiale, organizzò e diresse un ospedale militare di riserva a Mombello, studiando, grazie a un'imponente casistica, i rapporti tra le conseguenze del conflitto e le malattie mentali. Attraverso trattati, manuali, articoli, conferenze, corsi di lezioni e di propaganda fu anticipatore e divulgatore dell'importanza dell'igiene mentale, della medicina sociale e della profilassi dell'alcolismo, della criminalità, delle malattie nervose e mentali. Propugnò e organizzò la formazione di dispensari psichiatrici a finalità preventiva, realizzando progetti sperimentali a Milano nel 1924. Fu inoltre tra i fondatori nel 1924 della Lega italiana di igiene mentale, di cui ebbe dal 1930 al 1938 la presidenza onoraria. Pensionato nel 1931, ottenne numerosi incarichi a livello nazionale, tra cui la riorganizzazione dei manicomi di Sondrio, Gorizia, Siracusa, Treviso, Trieste e Varese. Nel 1932 fu nominato membro della Commissione nazionale per lo studio delle questioni relative alla delinquenza minorile. Approfondì inoltre lo studio della pellagra, dando impulso a provvedimenti igienici e sociali per combatterla: nel 1933 gli venne affidata l'organizzazione della ""Mostra italiana per le scienze nel campo della pellagra"" all'Esposizione internazionale di Chicago; curò inoltre la voce dedicata alla malattia nell' Enciclopedia italiana . Tra le sue opere principali si segnalano il manuale Hoepli I principi fondamentali dell'antropologia criminale (1906) e il Trattato sull'assistenza degli alienati in Italia e nelle altre nazioni (1918), scritto in collaborazione con Augusto Tamburini e Giulio Cesare Ferrari. Tipica figura dello scienziato umanista, coltivò la letteratura, la musica e la pittura, ritirandosi spesso nella casa di montagna a Sassiglioni (Vocca) in Valsesia. Paola Zocchi 29/05/2013 (aggiornamento 16/02/2022)",1864,1938,Proto-scientifico
